Mon Feb 01 08:38:18 PM - Connection lost with API...
Mon Feb 01 08:38:28 PM - Connection lost with API...
Mon Feb 01 08:38:33 PM - Connection lost with API...
Mon Feb 01 08:38:38 PM - Connection lost with API...
Mon Feb 01 08:38:43 PM - Connection lost with API...
Mon Feb 01 08:38:50 PM - Connection lost with API...
Mon Feb 01 08:38:53 PM - Connection lost with API...
Mon Feb 01 08:38:58 PM - Connection lost with API...
Tue Feb 02 11:22:02 AM - Calculated RSI for NVDA: 50.25773195876267
Tue Feb 02 11:22:03 AM - Calculated RSI for AAPL: 35.63218390804617
Tue Feb 02 11:22:04 AM - Calculated RSI for NVAX: 57.00575815738983
Tue Feb 02 11:22:05 AM - Calculated RSI for FB: 45.63758389261729
Tue Feb 02 11:23:05 AM - Calculated RSI for GOOGL: 53.20197044334969
Tue Feb 02 11:23:06 AM - Calculated RSI for NVDA: 60.0
Tue Feb 02 11:23:07 AM - Calculated RSI for AAPL: 39.45945945946025
Tue Feb 02 11:23:08 AM - Calculated RSI for NVAX: 56.35673624288441
Tue Feb 02 11:23:09 AM - Calculated RSI for FB: 45.63758389261729
Tue Feb 02 11:24:02 AM - Calculated RSI for GOOGL: 50.99024534436934
Tue Feb 02 11:24:02 AM - Calculated RSI for NVDA: 47.20812182741131
Tue Feb 02 11:24:04 AM - Calculated RSI for AAPL: 35.260115606936935
Tue Feb 02 11:24:04 AM - Calculated RSI for NVAX: 55.72666025024075
Tue Feb 02 11:24:05 AM - Calculated RSI for FB: 51.2048192771089
Tue Feb 02 11:25:01 AM - Calculated RSI for GOOGL: 49.44110060189217
Tue Feb 02 11:25:02 AM - Calculated RSI for NVDA: 46.827794561934006
Tue Feb 02 11:25:04 AM - Calculated RSI for AAPL: 43.8848920863312
Tue Feb 02 11:25:05 AM - Calculated RSI for NVAX: 58.32438238453275
Tue Feb 02 11:25:06 AM - Calculated RSI for FB: 59.98588567395908
Tue Feb 02 11:26:02 AM - Calculated RSI for GOOGL: 46.18473895582373
Tue Feb 02 11:26:03 AM - Calculated RSI for NVDA: 44.40559440559532
Tue Feb 02 11:26:04 AM - Calculated RSI for AAPL: 45.09803921568659
Tue Feb 02 11:26:05 AM - Calculated RSI for NVAX: 52.455426962777786
Tue Feb 02 11:26:06 AM - Calculated RSI for FB: 59.98588567395908
Tue Feb 02 11:27:02 AM - Calculated RSI for GOOGL: 54.305526806044185
Tue Feb 02 11:28:03 AM - Calculated RSI for GOOGL: 53.96163469557933
Tue Feb 02 11:28:04 AM - Calculated RSI for NVDA: 55.17536355859786
Tue Feb 02 11:28:05 AM - Calculated RSI for AAPL: 43.33333333333292
Tue Feb 02 11:28:07 AM - Calculated RSI for NVAX: 57.93397231096918
Tue Feb 02 11:28:08 AM - Calculated RSI for FB: 64.82630272952844
Tue Feb 02 11:29:03 AM - Calculated RSI for GOOGL: 53.84097035040467
Tue Feb 02 11:29:04 AM - Calculated RSI for NVDA: 53.465346534654095
Tue Feb 02 11:29:05 AM - Calculated RSI for AAPL: 44.31818181818193
Tue Feb 02 11:29:06 AM - Calculated RSI for NVAX: 58.24915824915834
Tue Feb 02 11:29:07 AM - Calculated RSI for FB: 66.29013079667098
Tue Feb 02 11:30:01 AM - Calculated RSI for GOOGL: 51.28059191804181
Tue Feb 02 11:30:02 AM - Calculated RSI for NVDA: 47.490347490347034
Tue Feb 02 11:30:03 AM - Calculated RSI for AAPL: 50.19920318724997
Tue Feb 02 11:30:04 AM - Calculated RSI for NVAX: 57.96199764587204
Tue Feb 02 11:30:05 AM - Calculated RSI for FB: 71.75572519083964
Tue Feb 02 11:30:05 AM - Wanted to sell stock FB at RSI: 71.75572519083964 but the account did not have positions
Tue Feb 02 11:31:01 AM - Calculated RSI for GOOGL: 51.2556342562785
Tue Feb 02 11:31:02 AM - Calculated RSI for NVDA: 42.413793103448675
Tue Feb 02 11:31:03 AM - Calculated RSI for AAPL: 48.160535117055645
Tue Feb 02 11:31:04 AM - Calculated RSI for NVAX: 60.69800345857545
Tue Feb 02 11:31:05 AM - Calculated RSI for FB: 67.20430107526889
Tue Feb 02 11:32:03 AM - Calculated RSI for GOOGL: 52.74656679151096
Tue Feb 02 11:32:04 AM - Calculated RSI for NVDA: 45.77922077922133
Tue Feb 02 11:32:05 AM - Calculated RSI for AAPL: 48.84488448844897
Tue Feb 02 11:32:06 AM - Calculated RSI for NVAX: 57.19512195121946
Tue Feb 02 11:32:07 AM - Calculated RSI for FB: 64.82412060301395
Tue Feb 02 11:33:01 AM - Calculated RSI for GOOGL: 52.44974874371853
Tue Feb 02 11:33:03 AM - Calculated RSI for NVDA: 48.405797101449046
Tue Feb 02 11:33:03 AM - Calculated RSI for AAPL: 52.54237288135516
Tue Feb 02 11:33:04 AM - Calculated RSI for NVAX: 60.179193628671044
Tue Feb 02 11:33:05 AM - Calculated RSI for FB: 70.21276595744588
Tue Feb 02 11:33:05 AM - Wanted to sell stock FB at RSI: 70.21276595744588 but the account did not have positions
Tue Feb 02 11:34:01 AM - Calculated RSI for GOOGL: 56.75815639564959
Tue Feb 02 11:34:03 AM - Calculated RSI for NVDA: 50.0
Tue Feb 02 11:34:04 AM - Calculated RSI for AAPL: 51.15511551155103
Tue Feb 02 11:34:05 AM - Calculated RSI for NVAX: 62.35172769468785
Tue Feb 02 11:34:06 AM - Calculated RSI for FB: 65.21739130434695
Tue Feb 02 11:35:01 AM - Calculated RSI for GOOGL: 47.7559912854029
Tue Feb 02 11:35:02 AM - Calculated RSI for NVDA: 48.63731656184406
Tue Feb 02 11:35:03 AM - Calculated RSI for AAPL: 37.81512605042077
